"index","lable","cluster","hubs","degree"
1,"Arthrobacter",3,0,0.0404040404040404
2,"Kocuria",1,0,0.0202020202020202
3,"Enhydrobacter",1,0,0.101010101010101
4,"Elizabethkingia",1,0,0.0606060606060606
5,"Staphylococcus",3,0,0.0202020202020202
6,"Acinetobacter",1,0,0.0202020202020202
7,"Corynebacterium",4,0,0.272727272727273
8,"Micrococcus",1,0,0.111111111111111
9,"Helcobacillus",2,0,0.101010101010101
10,"Bifidobacterium",2,0,0.0606060606060606
11,"Rothia",1,0,0.0909090909090909
12,"Lactococcus",5,0,0.0303030303030303
13,"Rhizobium",1,0,0.0707070707070707
14,"Bordetella",5,0,0.121212121212121
15,"Bacteria_Bacteroidetes_Bacteroidia_Bacteroidales_Bacteroidaceae_Bacteroides",2,0,0.0505050505050505
16,"Deinococcus",1,0,0.0808080808080808
17,"Ochrobactrum",5,0,0.111111111111111
18,"Ornithinimicrobium",3,0,0.171717171717172
19,"Lacticigenium",2,0,0.0404040404040404
20,"Atopococcus",4,1,0.292929292929293
21,"Helicobacter",1,0,0.101010101010101
22,"Aeromonas",1,0,0.0505050505050505
23,"Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas",5,0,0.0909090909090909
24,"Bacteria_Firmicutes_Clostridia_Clostridiales_Clostridiaceae_Clostridium",4,0,0.202020202020202
25,"Succinispira",4,1,0.292929292929293
26,"Millisia",4,0,0.252525252525253
27,"Rheinheimera",1,0,0.101010101010101
28,"Bacteria_Firmicutes_Bacilli_Bacillales_Bacillaceae_Bacillus",2,0,0.0909090909090909
29,"Sphingobium",1,0,0.0808080808080808
30,"Bergeyella",1,0,0.0303030303030303
31,"Alistipes",4,0,0.242424242424242
32,"Sphingobacterium",1,0,0.0101010101010101
33,"Brevundimonas",1,0,0.0808080808080808
34,"Kerstersia",5,0,0.101010101010101
35,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Clostridium",4,0,0.202020202020202
36,"Nocardioides",3,0,0.0808080808080808
37,"Prevotella",4,0,0.171717171717172
38,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Ruminococcus",4,1,0.252525252525253
39,"Bacteria_Firmicutes_Clostridia_Clostridiales_Peptostreptococcaceae_Clostridium",4,0,0.232323232323232
40,"Novosphingobium",2,0,0.121212121212121
41,"Pedobacter",1,0,0.0202020202020202
42,"Treponema",4,0,0.181818181818182
43,"Dietzia",2,0,0.131313131313131
44,"Caldimonas",3,0,0.131313131313131
45,"Roseburia",4,0,0.171717171717172
46,"Albidovulum",3,0,0.202020202020202
47,"Gulbenkiania",1,0,0.0909090909090909
48,"Lysobacter",1,0,0.0707070707070707
49,"Bacteria_Firmicutes_Clostridia_Clostridiales_Lachnospiraceae_Clostridium",4,1,0.303030303030303
50,"Anaerobiospirillum",4,0,0.252525252525253
51,"Wautersiella",5,0,0.0303030303030303
52,"Deinobacterium",3,0,0.141414141414141
53,"Bacteria_Firmicutes_Bacilli_Bacillales_Planococcaceae_Bacillus",2,0,0.121212121212121
54,"Granulicatella",4,1,0.262626262626263
55,"Lactobacillus",5,0,0.151515151515152
56,"Kurthia",4,0,0.161616161616162
57,"[Clostridium]",4,0,0.252525252525253
58,"Dysgonomonas",5,0,0.0909090909090909
59,"Aurantimonas",1,0,0.0707070707070707
60,"Weissella",4,0,0.171717171717172
61,"Pseudoxanthomonas",5,0,0.111111111111111
62,"Methylotenera",1,0,0.101010101010101
63,"Olsenella",4,0,0.181818181818182
64,"CF231",4,0,0.252525252525253
65,"Porphyrobacter",3,0,0.0707070707070707
66,"Sphingomonas",3,0,0.121212121212121
67,"Xanthobacter",5,0,0.101010101010101
68,"Bacteria_Proteobacteria_Gammaproteobacteria_Vibrionales_Pseudoalteromonadaceae_Vibrio",1,0,0.0606060606060606
69,"Anaerosinus",5,0,0.0303030303030303
70,"Alysiella",1,0,0.0404040404040404
71,"Brevibacterium",3,0,0.181818181818182
72,"Pediococcus",5,0,0.252525252525253
73,"Pelomonas",1,0,0.101010101010101
74,"Sporobacter",4,0,0.171717171717172
75,"Papillibacter",3,0,0.212121212121212
76,"Nitriliruptor",3,0,0.161616161616162
77,"Akkermansia",3,0,0.262626262626263
78,"Oscillospira",2,0,0.0606060606060606
79,"Alkanindiges",1,0,0.0808080808080808
80,"Psychrobacter",1,0,0.0404040404040404
81,"Isobaculum",4,0,0.161616161616162
82,"Barnesiella",4,0,0.161616161616162
83,"Planktophila",1,0,0.0404040404040404
84,"Proteus",5,0,0.0909090909090909
85,"Ornithinicoccus",3,0,0.161616161616162
86,"Herbiconiux",1,0,0.0808080808080808
87,"Leifsonia",3,0,0.0808080808080808
88,"Nitrobacteria",2,0,0.111111111111111
89,"Lactonifactor",4,0,0.181818181818182
90,"Bacteria_Firmicutes_Clostridia_Clostridiales_Ruminococcaceae_Bacteroides",4,0,0.252525252525253
91,"Arcobacter",4,0,0.202020202020202
92,"Beutenbergia",3,0,0.151515151515152
93,"Blastococcus",3,0,0.171717171717172
94,"Bibersteinia",1,0,0.0505050505050505
95,"ph2",4,0,0.171717171717172
96,"Arsenicicoccus",1,0,0.0707070707070707
97,"Atopostipes",3,0,0.212121212121212
98,"Desulfovibrio",2,0,0.0909090909090909
