"","Phylum","mean_prevalence","total_abundance"
"1","[Thermi]",1.71014492753623,6377
"2","Acidobacteria",1.2,1049
"3","Actinobacteria",2.94181818181818,392880
"4","Armatimonadetes",1,20
"5","Bacteroidetes",1.99941724941725,287547
"6","Chlamydiae",1,126
"7","Chlorobi",1,66
"8","Chloroflexi",1.35294117647059,3182
"9","Cyanobacteria",1.66666666666667,3462
"10","Deferribacteres",1.33333333333333,587
"11","Elusimicrobia",1.44444444444444,135
"12","Euryarchaeota",1,60
"13","Fibrobacteres",1,18
"14","Firmicutes",2.42929292929293,1238809
"15","Fusobacteria",1.79487179487179,4906
"16","Gemmatimonadetes",1.125,479
"17","GN02",1,15
"18","Lentisphaerae",1.11111111111111,75
"19","Nitrospirae",1,30
"20","OD1",1.25,62
"21","OP8",1,6
"22","Planctomycetes",1,47
"23","Proteobacteria",2.26844262295082,580789
"24","SBR1093",5,26
"25","Spirochaetes",2.68571428571429,2516
"26","SR1",1,10
"27","Synergistetes",1,5
"28","Tenericutes",1.43548387096774,1011
"29","TM6",1,9
"30","TM7",1.98846153846154,23258
"31","Verrucomicrobia",1.59459459459459,925
"32","WPS-2",1,36
"33",NA,1.51438848920863,14743
